name,Type,a (AU) ,e ,Value ($),Est. Profit ($),Δv (km/s),MOID (AU) ,Group
2018 VW,?,1.444,0.489,0,0,6.577,0.014458,APO
2018 VV,?,1.556,0.307,0,0,9.316,0.097442,AMO
2018 VU,?,1.235,0.199,0,0,9.04,0.065199,APO
2018 VT,?,1.281,0.264,0,0,7.672,0.023174,APO
2018 VS,?,2.003,0.482,0,0,6.207,0.05469,AMO
2018 VR,?,1.757,0.429,0,0,5.568,0.07392,APO
2018 VQ,?,2.637,0.358,0,0,9.625,,MBA
2018 VP,?,2.082,0.33,0,0,7.196,,MCA
2018 VO,?,2.252,0.332,0,0,7.896,,MCA
2018 VN,?,1.749,0.025,0,0,12.721,,IMB
2018 VM,?,1.731,0.143,0,0,10.125,,MCA
2018 VL,?,1.036,0.235,0,0,5.717,0.003524,APO
2018 VK,?,1.832,0.55,0,0,6.454,0.004117,APO
2018 VJ,?,2.588,0.387,0,0,11.938,,MCA
2018 VH,?,1.767,0.133,0,0,8.465,,MCA
2018 VG,?,0.766,0.362,0,0,9.123,0.001494,ATE
2018 VF,?,1.85,0.48,0,0,5.603,0.003685,APO
2018 VE,?,1.247,0.183,0,0,4.642,0.026198,AMO
2018 VD,?,1.068,0.42,0,0,7.638,0.004136,APO
2018 VC,?,1.126,0.169,0,0,4.547,0.002352,APO
2018 VB,?,1.115,0.281,0,0,6.193,0.011497,APO
2018 VA,?,1.196,0.149,0,0,4.148,0.026461,AMO
2018 UH3,?,3.092,0.403,0,0,11.134,,MBA
2018 UG3,?,1.659,0.422,0,0,5.569,0.026992,APO
2018 UF3,?,2.278,0.229,0,0,12.021,,MBA
2018 UE3,?,1.504,0.332,0,0,7.064,0.0893,APO
2018 UD3,?,1.773,0.457,0,0,5.51,0.004184,APO
2018 UC3,?,1.068,0.016,0,0,8.308,0.059745,AMO
2018 UB3,?,1.623,0.448,0,0,5.631,0.002556,APO
2018 UA3,?,1.198,0.424,0,0,6.703,0.043018,APO
2018 UZ2,?,1.932,0.056,0,0,10.42,,IMB
2018 UY2,?,2.562,0.384,0,0,9.376,,MCA
2018 UX2,?,1.843,0.097,0,0,9.632,,MCA
2018 UW2,?,1.869,0.052,0,0,10.091,,IMB
2018 UV2,?,1.912,0.051,0,0,10.269,,IMB
2018 UU2,?,1.887,0.037,0,0,10.231,,IMB
2018 UT2,?,2.61,0.436,0,0,10.785,,MCA
2018 US2,?,2.978,0.658,0,0,7.256,0.048563,AMO
2018 UR2,?,1.811,0.407,0,0,12.616,0.085194,AMO
2018 UQ2,?,2.798,0.649,0,0,7.888,0.067671,APO
2018 UP2,?,2.491,0.461,0,0,10.651,,MCA
2018 UO2,?,1.953,0.068,0,0,10.035,,IMB
2018 UN2,?,2.388,0.261,0,0,9.411,,MBA
2018 UM2,?,2.612,0.379,0,0,9.908,,MCA
2018 UL2,?,2.681,0.362,0,0,9.534,,MBA
2018 UK2,?,1.482,0.29,0,0,17.101,0.059262,AMO
2018 UJ2,?,1.969,0.546,0,0,7.617,0.023211,APO
2018 UE2,?,1.986,0.096,0,0,9.644,0.870019,IMB
2018 UD2,?,2.608,0.456,0,0,7.615,0.432747,MCA
2018 UC2,?,1.577,0.411,0,0,10.618,0.020477,APO (PHA)
2018 UB2,?,1.889,0.036,0,0,10.635,0.872304,IMB
2018 UA2,?,2.309,0.346,0,0,7.823,0.534295,MCA
2018 UZ1,?,2.468,0.505,0,0,7.044,0.213702,AMO
2018 UY1,?,0.883,0.303,0,0,7.474,0.00811,ATE
2018 UX1,?,1.213,0.112,0,0,8.54,0.096451,AMO
2018 UW1,?,1.962,0.543,0,0,6.158,0.004532,APO
2018 UV1,?,0.935,0.247,0,0,10.164,0.163651,ATE
2018 UU1,?,2.414,0.374,0,0,11.089,0.644944,MCA
2018 UT1,?,2.679,0.485,0,0,9.425,0.395667,MCA
2018 US1,?,1.656,0.398,0,0,5.571,0.004799,APO
2018 UR1,?,2.631,0.598,0,0,19.048,0.161312,AMO
2018 UQ1,?,1.619,0.493,0,0,6.14,0.010514,APO (PHA)
2018 UP1,?,2.609,0.437,0,0,7.971,0.495806,MCA
2018 UO1,?,2.103,0.687,0,0,7.878,0.004299,APO
2018 UN1,?,2.253,0.791,0,0,9.018,0.072062,APO
2018 UM1,?,1.144,0.174,0,0,4.369,0.002194,APO
2018 UL1,?,1.263,0.199,0,0,9.408,0.047846,APO
2018 UK1,?,2.443,0.593,0,0,6.327,0.001474,APO
2018 UJ1,?,1.296,0.188,0,0,5.698,0.066633,AMO
2018 UH1,?,1.767,0.539,0,0,6.485,0.012873,APO
2018 UG1,?,1.529,0.329,0,0,5.049,0.029736,AMO
2018 UF1,?,1.148,0.418,0,0,7.558,0.005086,APO
2018 UE1,?,1.021,0.012,0,0,5.059,0.016501,APO
2018 UD1,?,2.364,0.604,0,0,6.583,0.026054,APO
2018 UC1,?,1.258,0.161,0,0,6.258,0.067281,AMO
2018 UB1,?,7.569,0.505,0,0,12.019,2.76519,CEN
2018 UA1,?,2.529,0.624,0,0,8.441,0.04327,APO (PHA)
2018 UZ,?,2.656,0.599,0,0,8.732,0.080935,AMO
2018 UY,?,1.25,0.533,0,0,7.723,0.007525,APO (PHA)
2018 UX,?,2.59,0.376,0,0,8.724,0.620841,MCA
2018 UW,?,2.632,0.474,0,0,7.73,0.421421,MCA
2018 UV,?,3.061,0.387,0,0,9.266,0.905513,MBA
2018 UU,?,2.272,0.389,0,0,7.561,0.375577,MCA
2018 UT,?,2.216,0.38,0,0,7.439,0.391179,MCA
2018 US,?,2.187,0.29,0,0,7.781,0.551805,MCA
2018 UR,?,2.188,0.346,0,0,7.496,0.437476,MCA
2018 UQ,?,1.734,0.096,0,0,10.302,0.654453,MCA
2018 UP,?,2.273,0.384,0,0,7.34,0.402715,MCA
2018 UO,?,2.245,0.415,0,0,7.196,0.319334,MCA
2018 UN,?,1.924,0.083,0,0,9.61,0.824749,IMB
2018 UM,?,1.954,0.054,0,0,10.186,0.855379,IMB
2018 UL,?,1.344,0.28,0,0,4.553,0.000442,APO
2018 UK,?,2.413,0.69,0,0,7.402,0.004628,APO
2018 UJ,?,2.463,0.556,0,0,6.958,0.103384,AMO
2018 UH,?,2.475,0.609,0,0,8.068,0.013558,APO
2018 UG,?,2.192,0.538,0,0,6.146,0.011713,APO
2018 UF,?,1.62,0.363,0,0,7.545,0.083804,AMO
2018 UE,?,1.266,0.477,0,0,7.792,0.029779,APO
2018 UD,?,2.743,0.536,0,0,8.032,0.347156,AMO
2018 UC,?,0.993,0.333,0,0,7.642,0.002761,ATE
2018 UB,?,1.944,0.591,0,0,7.117,0.019548,APO
2018 UA,?,1.39,0.447,0,0,6.231,0.000186,APO
2018 TS9,?,2.32,0.249,0,0,8.28,,MBA
2018 TR9,?,2.408,0.167,0,0,9.126,,MBA
2018 TP9,?,2.376,0.15,0,0,8.863,,MBA
2018 TO9,?,3.204,0.204,0,0,10.098,,OMB
2018 TN9,?,2.212,0.211,0,0,8.158,,MBA
2018 TK9,?,2.523,0.316,0,0,9.065,,MBA
2018 TJ9,?,2.594,0.275,0,0,9.409,,MBA
2018 TH9,?,2.636,0.029,0,0,12.171,,MBA
2018 TG9,?,2.68,0.277,0,0,10.295,,MBA
2018 TF9,?,2.794,0.165,0,0,12.079,,MBA
2018 TE9,?,2.632,0.312,0,0,9.169,,MBA
2018 TD9,?,2.731,0.073,0,0,10.116,,MBA
2018 TC9,?,2.682,0.066,0,0,10.027,,MBA
2018 TB9,?,2.754,0.072,0,0,10.112,,MBA
2018 TA9,?,3.269,0.168,0,0,10.995,,OMB
2018 TZ8,?,2.853,0.108,0,0,10.101,,MBA
2018 TW8,?,3.048,0.136,0,0,10.445,,MBA
2018 TV8,?,2.732,0.165,0,0,9.95,,MBA
2018 TU8,?,2.425,0.133,0,0,9.279,,MBA
2018 TT8,?,3.102,0.148,0,0,10.357,,MBA
2018 TS8,?,2.761,0.201,0,0,9.571,,MBA
2018 TR8,?,2.694,0.168,0,0,9.597,,MBA
2018 TO8,?,2.814,0.029,0,0,10.47,,MBA
2018 TN8,?,3.042,0.162,0,0,10.214,,MBA
2018 TL8,?,2.669,0.262,0,0,9.72,,MBA
2018 TK8,?,2.192,0.225,0,0,8.173,,MBA
2018 TJ8,?,2.76,0.088,0,0,10.013,,MBA
2018 TH8,?,3.059,0.147,0,0,10.735,,MBA
2018 TG8,?,2.208,0.269,0,0,7.845,,MCA
2018 TF8,?,2.592,0.326,0,0,8.53,,MBA
2018 TC8,?,2.567,0.104,0,0,10.578,,MBA
2018 TZ7,?,3.061,0.349,0,0,11.205,,MBA
2018 TY7,?,2.557,0.273,0,0,8.739,,MBA
2018 TW7,?,3.186,0.238,0,0,11.025,,MBA
2018 TV7,?,2.68,0.261,0,0,9.508,,MBA
2018 TU7,?,3.148,0.2,0,0,11.069,,MBA
2018 TS7,?,2.778,0.2,0,0,9.699,,MBA
2018 TR7,?,3.962,0.215,0,0,10.81,,OMB
2018 TN7,?,2.733,0.135,0,0,10.239,,MBA
2018 TM7,?,2.235,0.207,0,0,8.39,,MBA
2018 TL7,?,2.321,0.14,0,0,9.082,,MBA
2018 TK7,?,2.852,0.082,0,0,10.151,,MBA
2018 TE7,?,2.284,0.249,0,0,8.29,,MBA
2018 TC7,?,2.212,0.229,0,0,8.164,,MBA
2018 TB7,?,2.245,0.201,0,0,11.16,,MBA
2018 TZ6,?,3.157,0.267,0,0,10.613,,MBA
2018 TY6,?,2.774,0.178,0,0,10.152,,MBA
2018 TW6,?,3.093,0.153,0,0,10.141,,MBA
2018 TV6,?,1.873,0.087,0,0,10.261,,IMB
2018 TU6,?,1.834,0.108,0,0,10.057,0.699587,MCA
2018 TT6,?,1.215,0.207,0,0,4.744,0.004766,APO
2018 TS6,?,0.898,0.214,0,0,6.844,0.003701,ATE
2018 TR6,?,2.206,0.472,0,0,6.519,0.167252,AMO
2018 TQ6,?,2.438,0.392,0,0,8.788,0.500608,MCA
2018 TP6,?,1.854,0.073,0,0,10.069,0.715505,IMB
2018 TO6,?,2.736,0.567,0,0,7.854,0.299169,AMO
2018 TN6,?,1.648,0.298,0,0,6.53,0.213592,AMO
2018 TM6,?,1.951,0.576,0,0,7.052,0.0115,APO
2018 TL6,?,8.222,0.79,0,0,51.665,0.741081,CEN
2018 TK6,?,1.17,0.38,0,0,6.41,0.025561,APO
2018 TJ6,?,1.139,0.232,0,0,6.882,0.003066,APO
2018 TH6,?,1.357,0.287,0,0,5.494,0.054142,APO
2018 TG6,?,1.064,0.084,0,0,3.972,0.006978,APO
2018 TF6,?,2.09,0.497,0,0,6.045,0.056411,AMO
2018 TE6,?,1.127,0.026,0,0,9.192,0.122506,AMO
2018 TD6,?,1.179,0.241,0,0,5.075,0.011735,APO
2018 TC6,?,2.35,0.45,0,0,7.092,0.277366,AMO
2018 TB6,?,1.915,0.298,0,0,9.829,0.385714,MCA
2018 TA6,?,2.615,0.411,0,0,9.047,0.544593,MCA
2018 TZ5,?,1.985,0.55,0,0,6.2,0.010817,APO
2018 TY5,?,0.929,0.511,0,0,12.786,0.028248,ATE
2018 TX5,?,2.176,0.446,0,0,6.596,0.189966,AMO
2018 TW5,?,2.232,0.445,0,0,7.009,0.258692,AMO
2018 TV5,?,1.465,0.528,0,0,7.06,0.000154,APO
2018 TU5,?,2.264,0.417,0,0,10.707,0.332897,MCA
2018 TT5,?,1.629,0.474,0,0,6.064,0.032361,APO
2018 TS5,?,1.605,0.2,0,0,6.461,0.289409,AMO
2018 TR5,?,2.48,0.551,0,0,8.538,0.13279,AMO
2018 TQ5,?,2.173,0.571,0,0,17.467,0.121694,APO
2018 TP5,?,1.683,0.472,0,0,5.821,0.00125,APO
2018 TO5,?,2.338,0.511,0,0,7.002,0.140915,AMO
2018 TN5,?,2.202,0.454,0,0,7.188,0.225,AMO
2018 TM5,?,2.366,0.35,0,0,8.062,0.522673,MCA
2018 TL5,?,2.251,0.4,0,0,7.319,0.358542,MCA
2018 TK5,?,2.385,0.337,0,0,10.088,0.67602,MCA
2018 TJ5,?,2.793,0.448,0,0,9.299,0.566612,MCA
2018 TH5,?,1.838,0.006,0,0,11.38,0.823733,IMB
2018 TG5,?,2.103,0.478,0,0,6.306,0.125538,AMO
2018 TF5,?,0.904,0.368,0,0,8.355,0.013388,ATE
2018 TE5,?,1.607,0.348,0,0,5.749,0.057893,AMO
2018 TD5,?,1.641,0.536,0,0,7.704,0.026141,APO
2018 TC5,?,1.041,0.039,0,0,7.503,0.033009,APO
2018 TB5,?,1.126,0.531,0,0,8.43,0.005757,APO
2018 TA5,?,2.607,0.803,0,0,8.754,0.030681,APO
2018 TZ4,?,2.381,0.656,0,0,7.649,0.022886,APO
2018 TY4,?,2.411,0.609,0,0,6.522,0.000972,APO
2018 TX4,?,1.889,0.709,0,0,8.881,0.197063,APO
2018 TW4,?,2.165,0.47,0,0,6.689,0.138282,AMO
2018 TV4,?,1.448,0.495,0,0,7.027,0.050503,APO
2018 TU4,?,0.971,0.213,0,0,8.833,0.02875,ATE
2018 TT4,?,1.265,0.317,0,0,8.358,0.009078,APO
2018 TS4,?,1.104,0.107,0,0,3.993,0.007182,APO
2018 TR4,?,1.081,0.16,0,0,8.454,0.017343,APO
2018 TQ4,?,2.516,0.406,0,0,8.016,0.478958,MCA
2018 TP4,?,1.776,0.246,0,0,9.583,0.399281,MCA
2018 TO4,?,1.901,0.095,0,0,10.892,0.778661,IMB
2018 TN4,?,2.426,0.416,0,0,7.599,0.420234,MCA
2018 TM4,?,1.931,0.086,0,0,10.053,0.837365,IMB
2018 TL4,?,1.88,0.079,0,0,9.417,0.754816,IMB
2018 TK4,?,2.896,0.549,0,0,10.883,0.323019,MCA
2018 TJ4,?,2.452,0.695,0,0,7.422,0.015952,APO
2018 TH4,?,2.529,0.46,0,0,11.083,0.541399,MCA
2018 TG4,?,1.639,0.031,0,0,11.712,0.590449,MCA
2018 TF4,?,2.593,0.341,0,0,12.432,0.811032,MBA
2018 TE4,?,2.345,0.623,0,0,7.024,0.023897,APO
2018 TD4,?,1.417,0.373,0,0,5.445,0.059749,APO
2018 TC4,?,1.449,0.363,0,0,8.221,0.050622,APO
2018 TB4,?,2.629,0.529,0,0,10.382,0.411318,AMO
2018 TA4,?,1.967,0.115,0,0,9.719,0.757208,IMB
2018 TZ3,?,1.88,0.119,0,0,9.897,0.78344,MCA
2018 TY3,?,3.171,0.321,0,0,11.718,1.28109,MBA
2018 TX3,?,2.591,0.368,0,0,9.098,0.71293,MCA
2018 TW3,?,1.871,0.038,0,0,11.903,0.839632,IMB
2018 TV3,?,2.603,0.333,0,0,13.538,0.788196,MBA
2018 TU3,?,2.097,0.352,0,0,7.171,0.353487,MCA
2018 TT3,?,1.818,0.041,0,0,10.015,0.779889,IMB
2018 TS3,?,2.147,0.344,0,0,7.319,0.412242,MCA
2018 TR3,?,1.131,0.11,0,0,4.55,0.014296,APO
2018 TQ3,?,1.814,0.451,0,0,5.641,0.017122,APO
2018 TP3,?,1.694,0.39,0,0,10.333,0.033129,AMO
2018 TO3,?,1.131,0.15,0,0,8.433,0.024965,APO
2018 TN3,?,1.859,0.47,0,0,5.555,0.010884,APO
2018 TM3,?,1.36,0.268,0,0,4.486,0.007073,APO
2018 TL3,?,1.207,0.163,0,0,13.288,0.103939,APO
2018 TK3,?,1.488,0.166,0,0,10.278,0.24504,AMO
2018 TJ3,?,0.951,0.348,0,0,8.453,0.058541,ATE
2018 TH3,?,1.221,0.214,0,0,4.465,0.003948,APO
2018 TG3,?,2.362,0.579,0,0,6.688,0.023824,APO
2018 TF3,?,2.136,0.714,0,0,8.199,0.019934,APO (PHA)
2018 TE3,?,2.036,0.462,0,0,6.721,0.101318,AMO
2018 TD3,?,1.245,0.457,0,0,6.861,0.004572,APO
2018 TC3,?,2.648,0.601,0,0,7.221,0.076606,AMO
2018 TB3,?,0.829,0.431,0,0,9.481,0.009166,ATE
2018 TA3,?,2.574,0.627,0,0,8.234,0.178054,APO
2018 TZ2,?,2.168,0.653,0,0,7.198,0.005046,APO
2018 TY2,?,2.292,0.841,0,0,9.707,0.003483,APO (PHA)
2018 TX2,?,1.747,0.592,0,0,11.215,0.034218,APO
2018 TW2,?,1.414,0.218,0,0,5.843,0.106982,AMO
2018 TV2,?,1.642,0.632,0,0,8.24,0.1677,APO
2018 TU2,?,2.155,0.433,0,0,6.801,0.209519,AMO
2018 TT2,?,1.271,0.327,0,0,5.851,0.013457,APO
2018 TS2,?,2.465,0.593,0,0,6.349,0.016015,APO
2018 TR2,?,1.799,0.302,0,0,6.277,0.267491,AMO
2018 TQ2,?,2.222,0.531,0,0,6.545,0.051595,AMO
2018 TP2,?,2.522,0.557,0,0,6.712,0.134054,AMO
2018 TO2,?,1.101,0.595,0,0,17.079,0.540372,APO
2018 TN2,?,2.565,0.539,0,0,14.071,0.205667,AMO
2018 TM2,?,2.494,0.559,0,0,6.903,0.109941,AMO
2018 TL2,?,2.691,0.596,0,0,6.81,0.1043,AMO
2018 TK2,?,2.612,0.59,0,0,6.81,0.08329,AMO
2018 TJ2,?,2.661,0.419,0,0,8.319,0.57905,MCA
2018 TH2,?,1.703,0.094,0,0,11.411,0.560641,MCA
2018 TG2,?,1.333,0.327,0,0,5.182,0.00294,APO
2018 TF2,?,1.703,0.42,0,0,6.888,0.01858,APO
2018 TE2,?,2.694,0.679,0,0,7.067,0.00303,APO
2018 TD2,?,0.843,0.415,0,0,9.522,0.021164,ATE
2018 TC2,?,1.131,0.144,0,0,6.668,0.041851,APO
2018 TB2,?,2.778,0.683,0,0,7.14,0.007242,APO
2018 TA2,?,0.978,0.173,0,0,5.344,0.019232,ATE
2018 TZ1,?,1.098,0.144,0,0,5.555,0.037661,APO
2018 TY1,?,2.47,0.607,0,0,6.915,0.014023,APO
2018 TX1,?,1.254,0.145,0,0,8.472,0.086754,AMO
2018 TW1,?,1.898,0.471,0,0,6.1,0.010104,APO
2018 TV1,?,2.489,0.575,0,0,6.981,0.062441,AMO
2018 TU1,?,2.498,0.545,0,0,6.765,0.150402,AMO
2018 TT1,?,2.752,0.604,0,0,12.34,0.145307,AMO
2018 TS1,?,1.379,0.423,0,0,5.984,0.007817,APO
2018 TR1,?,2.482,0.636,0,0,6.747,0.023772,APO
2018 TQ1,?,1.32,0.231,0,0,5.456,0.060423,APO
2018 TP1,?,2.162,0.671,0,0,7.479,0.006194,APO
2018 TO1,?,1.535,0.396,0,0,5.343,0.008281,APO (PHA)
2018 TN1,?,2.133,0.469,0,0,6.638,0.138698,AMO
2018 TM1,?,1.9,0.094,0,0,10.45,0.773296,IMB
2018 TL1,?,2.345,0.409,0,0,8.206,0.389737,MCA
2018 TK1,?,2.56,0.47,0,0,9.995,0.583549,MCA
2018 TJ1,?,2.479,0.357,0,0,8.156,0.603788,MCA
2018 TH1,?,1.997,0.129,0,0,9.325,0.75947,IMB
2018 TG1,?,2.726,0.372,0,0,12.497,0.785988,MBA
2018 TF1,?,2.751,0.415,0,0,8.71,0.613588,MCA
2018 TE1,?,3.245,0.416,0,0,14.622,0.906066,OMB
2018 TD1,?,1.894,0.08,0,0,10.754,0.748753,IMB
2018 TC1,?,2.75,0.43,0,0,12.422,0.655121,MCA
2018 TB1,?,1.898,0.303,0,0,7.209,0.340294,MCA
2018 TA1,?,2.605,0.294,0,0,14.26,0.9662,MBA
2018 TZ,?,1.268,0.256,0,0,8.094,0.003998,APO
2018 TY,?,1.463,0.145,0,0,8.478,0.253713,AMO
2018 TX,?,1.815,0.437,0,0,5.633,0.034988,AMO
2018 TW,?,2.674,0.533,0,0,8.953,0.255303,AMO
2018 TV,?,1.643,0.433,0,0,5.522,0.000488,APO
2018 TU,?,1.378,0.437,0,0,6.214,0.004768,APO
2018 TT,?,1.537,0.308,0,0,6.732,0.23434,AMO
2018 TS,?,2.455,0.564,0,0,6.478,0.084175,AMO
2018 TR,?,1.058,0.185,0,0,5.275,0.002577,APO
2018 TQ,?,1.955,0.353,0,0,7.111,0.258255,AMO
2018 TP,?,1.362,0.464,0,0,8.477,0.035458,APO (PHA)
2018 TO,?,2.567,0.404,0,0,11.826,0.636017,MCA
2018 TN,?,2.015,0.199,0,0,11.864,0.673521,MCA
2018 TM,?,2.492,0.412,0,0,7.769,0.486714,MCA
2018 TL,?,2.598,0.413,0,0,8.709,0.535686,MCA
2018 TK,?,1.841,0.029,0,0,9.601,0.789414,IMB
2018 TJ,?,2.496,0.47,0,0,8.376,0.334479,MCA
2018 TH,?,2.601,0.352,0,0,8.458,0.705885,MBA
2018 TG,?,1.931,0.056,0,0,10.786,0.892583,IMB
2018 TF,?,1.967,0.046,0,0,11.327,0.923591,IMB
2018 TD,?,2.756,0.351,0,0,9.945,0.884168,MBA
2018 TC,?,1.229,0.225,0,0,4.555,0.001954,APO
2018 TB,?,2.394,0.582,0,0,6.385,0.010896,APO
2018 TA,?,1.291,0.188,0,0,4.752,0.051099,AMO
2018 SC16,?,2.762,0.258,0,0,9.367,,MBA
2018 SB16,?,2.737,0.303,0,0,8.823,,MBA
2018 SA16,?,2.944,0.202,0,0,9.772,,MBA
2018 SZ15,?,2.689,0.209,0,0,9.518,,MBA
2018 SX15,?,3.14,0.174,0,0,10.726,,MBA
2018 SV15,?,2.323,0.228,0,0,10.718,,MBA
2018 SU15,?,3.12,0.183,0,0,11.444,,MBA
2018 SS15,?,2.882,0.162,0,0,9.835,,MBA
2018 SQ15,?,2.563,0.211,0,0,9.721,,MBA
2018 SP15,?,2.272,0.197,0,0,8.698,,MBA
2018 SN15,?,2.695,0.291,0,0,9.272,,MBA
2018 SM15,?,2.927,0.201,0,0,9.868,,MBA
2018 SL15,?,3.973,0.351,0,0,10.51,,OMB
2018 SK15,?,2.251,0.109,0,0,9.04,,MBA
2018 SJ15,?,1.743,0.133,0,0,9.803,,MCA
2018 SH15,?,2.18,0.163,0,0,8.554,,MBA
2018 SG15,?,2.761,0.211,0,0,10.077,,MBA
2018 SF15,?,2.432,0.252,0,0,8.599,,MBA
2018 SE15,?,2.758,0.107,0,0,9.893,,MBA
2018 SD15,?,2.289,0.211,0,0,8.381,,MBA
2018 SC15,?,2.358,0.272,0,0,10.664,,MBA
2018 SB15,?,2.044,0.113,0,0,11.665,,MBA
2018 SA15,?,1.917,0.128,0,0,10.005,,IMB
2018 SY14,?,2.602,0.215,0,0,9.051,,MBA
2018 SX14,?,2.605,0.264,0,0,9.477,,MBA
2018 SW14,?,2.972,0.099,0,0,10.672,,MBA
2018 SV14,?,2.709,0.04,0,0,10.341,,MBA
2018 SU14,?,3.177,0.328,0,0,11.89,,MBA
2018 ST14,?,3.022,0.023,0,0,11.219,,MBA
2018 SS14,?,2.363,0.189,0,0,8.779,,MBA
2018 SR14,?,1.92,0.101,0,0,10.556,,IMB
2018 SQ14,?,2.55,0.234,0,0,9.791,,MBA
2018 SP14,?,2.772,0.327,0,0,8.981,,MBA
2018 SO14,?,2.64,0.384,0,0,8.39,,MCA
2018 SN14,?,3.084,0.282,0,0,11.328,,MBA
2018 SM14,?,2.587,0.287,0,0,9.352,,MBA
2018 SL14,?,2.328,0.208,0,0,8.866,,MBA
2018 SK14,?,2.607,0.188,0,0,9.767,,MBA
2018 SJ14,?,3.155,0.253,0,0,10.932,,MBA
2018 SF14,?,3.173,0.224,0,0,10.366,,MBA
2018 SE14,?,2.332,0.257,0,0,8.25,,MBA
2018 SD14,?,2.369,0.202,0,0,11.292,,MBA
2018 SC14,?,2.774,0.021,0,0,10.408,,MBA
2018 SB14,?,2.759,0.041,0,0,10.276,,MBA
2018 SA14,?,2.592,0.243,0,0,8.902,,MBA
2018 SZ13,?,2.603,0.183,0,0,10.034,,MBA
2018 SY13,?,2.944,0.04,0,0,10.85,,MBA
2018 SX13,?,2.631,0.119,0,0,10.236,,MBA
2018 SW13,?,2.589,0.224,0,0,8.972,,MBA
2018 SV13,?,1.225,0.265,0,0,5.516,0.001083,APO
2018 SU13,?,2.671,0.187,0,0,10.124,1.16213,MBA
2018 SS13,?,2.697,0.202,0,0,9.822,1.1425,MBA
2018 SQ13,?,155.724,0.981,0,0,26.066,2.01508,TNO
2018 SG13,?,3.165,0.203,0,0,12.762,1.67634,MBA
2018 SF13,?,2.739,0.104,0,0,10.754,1.4879,MBA
2018 SE13,?,3.158,0.313,0,0,10.228,1.2288,MBA
2018 SD13,?,2.73,0.129,0,0,12.648,1.3914,MBA
2018 SB13,?,3.108,0.308,0,0,9.896,1.18833,MBA
2018 SA13,?,3.04,0.189,0,0,10.805,1.49054,MBA
2018 SZ12,?,2.168,0.182,0,0,8.275,0.772074,MBA
2018 SY12,?,2.786,0.214,0,0,9.419,1.19687,MBA
2018 SX12,?,2.373,0.263,0,0,8.465,0.742006,MBA
2018 SV12,?,2.563,0.143,0,0,9.891,1.18935,MBA
2018 SU12,?,1.961,0.109,0,0,9.908,0.779639,IMB
2018 SS12,?,2.346,0.206,0,0,8.507,0.852939,MBA
2018 SQ12,?,3.084,0.12,0,0,10.712,1.71149,MBA
2018 SO12,?,2.647,0.263,0,0,9.441,0.99554,MBA
2018 SN12,?,3.176,0.213,0,0,11.441,1.50652,MBA
2018 SM12,?,2.571,0.135,0,0,10.338,1.27473,MBA
2018 SL12,?,2.643,0.3,0,0,9.755,0.893617,MBA
2018 SJ12,?,2.71,0.206,0,0,10.162,1.1392,MBA
2018 SH12,?,2.724,0.342,0,0,8.928,0.802293,MBA
2018 SG12,?,2.201,0.186,0,0,8.422,0.800037,MBA
2018 SF12,?,2.796,0.296,0,0,9.346,0.999666,MBA
2018 SE12,?,2.294,0.256,0,0,10.672,0.795124,MBA
2018 SC12,?,2.329,0.129,0,0,9.059,1.02529,MBA
2018 SB12,?,2.19,0.153,0,0,8.52,0.86146,MBA
2018 SA12,?,2.697,0.231,0,0,9.935,1.06702,MBA
2018 SZ11,?,2.86,0.086,0,0,10.228,1.62737,MBA
2018 SY11,?,3.161,0.106,0,0,13.572,1.88349,MBA
2018 SX11,?,2.448,0.156,0,0,9.242,1.05485,MBA
2018 SW11,?,2.373,0.216,0,0,8.512,0.846723,MBA
2018 SV11,?,2.643,0.299,0,0,9.472,0.858911,MBA
2018 SU11,?,3.002,0.458,0,0,8.557,0.633341,MCA
2018 ST11,?,3.188,0.273,0,0,10.456,1.33083,MBA
2018 SR11,?,2.272,0.196,0,0,8.603,0.82704,MBA
2018 SQ11,?,2.587,0.259,0,0,10.088,0.931605,MBA
2018 SO11,?,3.01,0.325,0,0,9.247,1.04062,MBA
2018 SN11,?,2.755,0.258,0,0,13.954,1.1233,MBA
2018 SM11,?,3.159,0.276,0,0,10.672,1.34037,MBA
2018 SL11,?,2.724,0.258,0,0,9.853,1.07005,MBA
2018 SK11,?,2.718,0.124,0,0,9.747,1.37381,MBA
2018 SJ11,?,3.057,0.165,0,0,10.099,1.54162,MBA
2018 SH11,?,3.106,0.143,0,0,10.291,1.65457,MBA
2018 SG11,?,2.737,0.2,0,0,9.617,1.19146,MBA
2018 SF11,?,2.648,0.235,0,0,9.236,1.01407,MBA
2018 SE11,?,2.569,0.189,0,0,9.721,1.07343,MBA
2018 SB11,?,3.044,0.132,0,0,11.656,1.63503,MBA
2018 SA11,?,2.43,0.103,0,0,10.406,1.1997,MBA
2018 SZ10,?,2.572,0.148,0,0,9.58,1.19191,MBA
2018 SY10,?,2.276,0.235,0,0,8.337,0.747253,MBA
2018 SX10,?,3.166,0.064,0,0,11.232,1.96259,MBA
2018 SW10,?,2.87,0.145,0,0,11.146,1.5062,MBA
2018 SV10,?,2.3,0.167,0,0,8.821,0.905827,MBA
2018 SU10,?,2.328,0.219,0,0,8.39,0.805142,MBA
2018 SR10,?,2.43,0.192,0,0,8.985,0.961198,MBA
