name,Type,Orbit (AU),e,Value ($),Est. Profit ($),Δv (km/s),Group
Davidharvey,C,2.85,0.589,53.90 trillion,6.14 trillion,7.238,AMO
2001 HA8,C,2.386,0.529,1.51 trillion,169.29 billion,7.314,AMO
Apollo,Q,1.47,0.56,805.03 million,88.36 million,7.484,APO (PHA)
2000 LC16,Xk,2.735,0.553,4.23 trillion,472.54 billion,7.335,AMO
2001 WH2,X,2.042,0.427,4.62 billion,497.31 million,7.544,AMO
2000 WC67,X,2.692,0.574,296.27 billion,32.10 billion,7.492,AMO
1998 HT31,C,2.512,0.693,10.42 billion,1.11 billion,7.585,APO (PHA)
2000 WJ10,Xk,2.069,0.459,3.50 billion,373.22 million,7.602,AMO
Atlantis,L,2.251,0.335,48.69 trillion,5.22 trillion,7.55,MCA
2001 HW15,X,1.525,0.253,3.50 billion,362.50 million,7.801,AMO
1999 VN6,C,1.733,0.37,62.78 billion,6.50 billion,7.787,AMO
2001 XS1,Cb,2.67,0.556,125.08 billion,13.16 billion,7.653,AMO
Eger,Xe,1.404,0.354,442.75 billion,44.76 billion,7.961,APO
Calingasta,Cb,2.195,0.389,20.76 trillion,2.15 trillion,7.762,MCA
Vishnu,O,1.06,0.444,242.46 billion,23.25 billion,8.358,APO (PHA)
2000 BG19,X,2.658,0.561,727.45 billion,74.68 billion,7.797,AMO
Zao,X,2.103,0.423,1.60 trillion,161.92 billion,7.888,AMO
1999 SE10,X,3.216,0.619,5.30 billion,546.90 million,7.752,AMO
1999 JM8,X,2.726,0.641,45.00 trillion,4.58 trillion,7.858,APO (PHA)
1994 AH2,O,2.537,0.707,21.02 trillion,2.11 trillion,7.952,APO
2000 WL10,Xc,3.141,0.717,92.39 billion,9.31 billion,7.908,APO
2000 BM19,O,0.74,0.359,914.79 billion,73.15 billion,9.951,ATE
1997 US9,Q,1.053,0.282,67.65 million,6.01 million,8.943,APO
2001 SJ262,C,2.945,0.575,30.61 billion,3.04 billion,7.984,AMO
1997 SE5,T,3.759,0.661,76.10 million,7.64 million,7.903,AMO
Ra-Shalom,Xc,0.832,0.437,1.76 trillion,130.81 billion,10.649,ATE
1997 AQ18,C,1.147,0.465,329.46 billion,28.82 billion,9.071,APO
1999 HF1,X,0.819,0.463,9.21 trillion,556.48 billion,13.13,ATE
1999 YK5,X,0.829,0.558,7.66 trillion,475.65 billion,12.768,ATE
1999 JD6,K,0.883,0.633,4.77 trillion,254.72 billion,14.847,ATE (PHA)
2000 WO107,X,0.912,0.781,17.40 billion,725.99 million,18.996,ATE (PHA)
1997 AC11,Xc,0.913,0.368,2.92 billion,170.33 million,13.58,ATE
2000 EA107,Q,0.93,0.456,1.06 billion,61.22 million,13.755,ATE
2000 CK33,Xk,0.968,0.415,63.73 billion,4.55 billion,11.089,ATE
Poseidon,O,1.835,0.679,38.13 trillion,3.50 trillion,8.627,APO
2002 DH2,Ch,2.051,0.541,20.79 billion,1.96 billion,8.409,APO
2001 YK4,X,2.656,0.776,314.94 billion,29.75 billion,8.372,APO
Cruithne,Q,0.998,0.515,2.12 billion,117.69 million,14.237,ATE
1999 FB,Q,1.18,0.607,175.38 million,14.15 million,9.799,APO
2002 DY3,Xk,1.492,0.274,48.34 billion,4.31 billion,8.856,AMO
Izhdubar,Q,1.007,0.266,801.64 million,24.81 million,25.539,APO
2001 XS30,Xc,1.165,0.828,139.84 billion,7.00 billion,15.785,APO
2000 YH66,Xk,1.173,0.744,73.17 billion,4.62 billion,12.51,APO
David Hughes,Xe,1.726,0.149,12.14 trillion,1.11 trillion,8.637,MCA
Phaethon,B,1.271,0.89,>100 trillion,5.30 trillion,15.347,APO (PHA)
2000 CN33,X,2.601,0.586,16.01 billion,1.51 billion,8.344,AMO
Bede,Xc,1.774,0.284,11.47 trillion,1.04 trillion,8.662,AMO
Gressmann,B,2.22,0.192,81.81 trillion,7.76 trillion,8.317,MBA
1995 BL2,L,1.235,0.504,261.02 billion,19.86 billion,10.365,APO
2000 BJ19,Q,1.292,0.764,2.78 billion,150.11 million,14.597,APO
2001 UY4,X,1.453,0.788,252.55 billion,18.59 billion,10.701,APO (PHA)
2000 WK10,X,1.479,0.702,48.34 billion,3.77 billion,10.098,APO (PHA)
2002 AU5,X,2.02,0.754,145.99 billion,12.69 billion,9.055,APO
Tantalus,Q,1.29,0.299,1.07 billion,35.86 million,23.46,APO (PHA)
Tapio,B,2.299,0.245,>100 trillion,>100 trillion,8.464,MBA
Heracles,O,1.834,0.772,>100 trillion,30.33 trillion,9.636,APO
Sigurd,K,1.392,0.375,32.74 trillion,2.02 trillion,12.716,APO
Munroe,X,2.202,0.136,5.40 trillion,495.45 billion,8.563,MBA
Orchis,C,2.419,0.259,>100 trillion,>100 trillion,8.476,MBA
Pyotr Pervyj,C,2.331,0.203,>100 trillion,51.16 trillion,8.52,MBA
1991 WA,Q,1.575,0.643,698.20 million,37.97 million,14.434,APO
2002 AD9,L,1.773,0.809,1.54 trillion,88.50 billion,13.653,APO
1991 AM,Q,1.698,0.695,2.42 billion,155.32 million,12.226,APO
1974 MA,Q,1.786,0.762,5.55 billion,295.91 million,14.699,APO
Yakhontovia,X,2.61,0.324,95.95 trillion,8.86 trillion,8.496,MBA
Lilliputia,Cb,2.313,0.171,>100 trillion,17.98 trillion,8.645,MBA
Syringa,Xk,2.629,0.344,>100 trillion,>100 trillion,8.533,MBA
Bryantsev,Cgh,2.453,0.238,>100 trillion,18.78 trillion,8.597,MBA
1991 XB,K,2.952,0.587,323.81 billion,29.41 billion,8.626,AMO
2002 BP26,X,1.697,0.394,16.01 billion,1.23 billion,10.201,AMO
2000 YO29,C,1.815,0.694,754.75 billion,31.53 billion,18.756,APO
Toyota,Xk,2.22,0.117,>100 trillion,9.91 trillion,8.754,MBA
Rudra,B,1.74,0.229,90.46 trillion,7.32 trillion,9.678,MCA
Leonardo,B,2.351,0.18,>100 trillion,66.78 trillion,8.672,MBA
Mukai,X,2.184,0.091,85.23 trillion,7.59 trillion,8.796,MBA
Olmstead,L,2.366,0.3,76.85 trillion,6.90 trillion,8.727,MCA
2001 TX16,X,3.579,0.598,23.04 trillion,2.14 trillion,8.434,OMB
Eichhorn,Cb,2.335,0.193,38.37 trillion,3.45 trillion,8.709,MBA
Parvulesco,C,2.426,0.22,>100 trillion,13.12 trillion,8.667,MBA
Beatty,Cgh,2.387,0.191,>100 trillion,25.12 trillion,8.69,MBA
Boznemcova,O,2.54,0.297,>100 trillion,97.88 trillion,8.65,MBA
Storeria,Ch,2.365,0.287,>100 trillion,83.06 trillion,8.775,MBA
Swann,Ch,2.389,0.258,>100 trillion,60.29 trillion,8.761,MBA
Nora,C,2.342,0.23,>100 trillion,>100 trillion,8.791,MBA
Horky,C,2.401,0.19,>100 trillion,20.84 trillion,8.734,MBA
1994 EF2,Q,2.293,0.516,304.77 million,26.04 million,9.158,AMO
Amy,C,2.172,0.025,>100 trillion,20.69 trillion,8.937,MBA
Leetsungdao,T,2.392,0.307,604.51 million,53.60 million,8.823,MCA
Sigrid,Xc,2.43,0.201,>100 trillion,>100 trillion,8.742,MBA
Berry,C,2.287,0.154,>100 trillion,>100 trillion,8.86,MBA
Lunacharsky,B,2.355,0.161,>100 trillion,>100 trillion,8.797,MBA
Tangshan,Cb,2.281,0.122,>100 trillion,>100 trillion,8.874,MBA
A'Hearn,C,2.377,0.168,64.58 trillion,5.74 trillion,8.799,MBA
1998 ST49,Q,2.308,0.595,231.20 million,19.20 million,9.415,APO
Fowler,Cb,2.33,0.153,69.31 trillion,6.13 trillion,8.842,MBA
Tiflis,L,2.329,0.221,>100 trillion,>100 trillion,8.879,MBA
Tatianina,Xc,2.358,0.194,5.10 trillion,450.42 billion,8.851,MBA
Dugan,B,2.314,0.205,>100 trillion,60.19 trillion,8.908,MBA
Kani,C,2.429,0.199,>100 trillion,>100 trillion,8.812,MBA
Amaravella,X,2.274,0.079,7.77 trillion,677.75 billion,8.956,MBA
Peraga,Ch,2.374,0.153,>100 trillion,>100 trillion,8.871,MBA
Lacadiera,Xk,2.251,0.095,>100 trillion,>100 trillion,8.989,MBA
Maisica,B,2.365,0.158,32.64 trillion,2.87 trillion,8.885,MBA
Kaho,Ch,2.4,0.274,>100 trillion,89.25 trillion,8.92,MBA
1980 RC1,C,2.458,0.2,>100 trillion,>100 trillion,8.827,MBA
Vernadskij,B,2.429,0.18,>100 trillion,>100 trillion,8.845,MBA
Chukotka,C,2.456,0.194,>100 trillion,>100 trillion,8.844,MBA
Komendantov,Xc,2.468,0.209,32.49 trillion,2.86 trillion,8.868,MBA
Paavo Nurmi,C,2.466,0.191,>100 trillion,>100 trillion,8.863,MBA
Horn-d'Arturo,Ch,2.628,0.277,>100 trillion,>100 trillion,8.782,MBA
Makharadze,C,2.461,0.188,>100 trillion,>100 trillion,8.87,MBA
Levitan,B,2.361,0.127,>100 trillion,>100 trillion,8.954,MBA
Sequoia,Xk,1.934,0.095,39.31 trillion,3.12 trillion,9.835,IMB
Popov,B,2.339,0.111,>100 trillion,64.96 trillion,8.986,MBA
Lilio,C,2.371,0.157,>100 trillion,76.53 trillion,8.985,MBA
Madreteresa,Cgh,2.4,0.239,>100 trillion,85.82 trillion,9.008,MBA
Gregory,B,2.467,0.186,>100 trillion,33.06 trillion,8.905,MBA
Appenzella,C,2.45,0.179,>100 trillion,>100 trillion,8.921,MBA
Capek,C,2.541,0.272,>100 trillion,19.89 trillion,8.897,MBA
Heckmann,C,2.435,0.163,>100 trillion,>100 trillion,8.955,MBA
Jo-Ann,C,2.451,0.166,>100 trillion,>100 trillion,8.953,MBA
1995 WQ5,Ch,2.347,0.414,3.00 trillion,250.04 billion,9.374,MCA
Salli,X,2.398,0.241,>100 trillion,>100 trillion,9.071,MBA
Aurelia,C,2.598,0.251,>100 trillion,>100 trillion,8.876,MBA
Clifford,Cb,2.01,0.204,68.11 trillion,5.34 trillion,9.947,MCA
Jekhovsky,C,2.687,0.319,>100 trillion,>100 trillion,8.873,MBA
1992 UB,X,3.105,0.568,766.16 billion,66.98 billion,8.92,MCA
Kenos,M,1.909,0.168,39.19 trillion,2.81 trillion,10.885,MCA
Seilandfarm,L,2.264,0.019,>100 trillion,16.22 trillion,9.223,MBA
1999 CW8,B,2.236,0.599,217.07 billion,14.58 billion,11.605,APO
Stearns,Xe,1.884,0.132,14.73 trillion,970.17 billion,11.835,MCA
Sazava,C,2.452,0.163,>100 trillion,>100 trillion,9.033,MBA
Ostro,Xe,1.892,0.067,13.29 trillion,894.63 billion,11.582,IMB
Barto,C,2.459,0.158,>100 trillion,>100 trillion,9.042,MBA
Einstein,Xe,1.934,0.099,8.24 trillion,591.00 billion,10.866,IMB
Ops,Xc,2.291,0.085,9.07 trillion,762.76 billion,9.266,MBA
Jennifer,Xe,1.915,0.142,84.01 trillion,5.50 trillion,11.904,MCA
Paola,B,2.468,0.153,>100 trillion,>100 trillion,9.054,MBA
Geichenko,C,2.452,0.148,>100 trillion,40.08 trillion,9.076,MBA
Hungaria,Xe,1.944,0.074,93.54 trillion,6.61 trillion,11.021,IMB
2002 CE26,C,2.233,0.561,33.39 trillion,1.70 trillion,15.275,APO
Billmclaughlin,Xc,2.353,0.143,>100 trillion,13.11 trillion,9.239,MBA
Roberta,B,2.475,0.173,>100 trillion,>100 trillion,9.085,MBA
Kagamigawa,Xc,2.351,0.07,60.28 trillion,5.09 trillion,9.227,MBA
Kanaya,Ch,2.345,0.168,>100 trillion,>100 trillion,9.302,MBA
Sayers,B,2.349,0.147,>100 trillion,88.15 trillion,9.288,MBA
Limpopo,Xc,2.354,0.155,>100 trillion,39.57 trillion,9.289,MBA
Robeson,C,2.342,0.146,>100 trillion,>100 trillion,9.31,MBA
Dwornik,M,1.954,0.043,6.23 trillion,419.14 billion,11.569,IMB
Devosa,X,2.383,0.137,>100 trillion,>100 trillion,9.249,MBA
Reaves,X,2.368,0.133,>100 trillion,18.38 trillion,9.277,MBA
Dunham,C,2.463,0.135,>100 trillion,>100 trillion,9.137,MBA
Nansenia,Ch,2.312,0.106,>100 trillion,>100 trillion,9.371,MBA
Walkure,C,2.486,0.161,>100 trillion,>100 trillion,9.131,MBA
Viola,C,2.474,0.146,>100 trillion,>100 trillion,9.143,MBA
Betulia,C,2.197,0.488,>100 trillion,6.93 trillion,17.06,AMO
Wielen,Xc,2.285,0.064,20.52 trillion,1.69 trillion,9.428,MBA
Oskar,C,2.445,0.129,>100 trillion,>100 trillion,9.19,MBA
Aenna,Xe,2.464,0.164,>100 trillion,8.89 trillion,9.193,MBA
Fredegundis,X,2.573,0.219,>100 trillion,>100 trillion,9.099,MBA
Riema,Xe,1.979,0.039,12.81 trillion,801.24 billion,12.448,IMB
Eichsfeldia,Ch,2.345,0.071,>100 trillion,>100 trillion,9.358,MBA
Thais,T,2.431,0.242,12.08 billion,1.01 billion,9.338,MBA
Onizaki,Xe,2.346,0.109,>100 trillion,15.41 trillion,9.408,MBA
Newell,Xc,2.402,0.111,32.68 trillion,2.73 trillion,9.32,MBA
Portlandia,Xk,2.373,0.11,>100 trillion,>100 trillion,9.391,MBA
Alvema,Xc,2.786,0.313,>100 trillion,32.91 trillion,9.027,MBA
Hamburga,C,2.551,0.173,>100 trillion,>100 trillion,9.163,MBA
Sarema,C,2.482,0.134,>100 trillion,>100 trillion,9.244,MBA
NOT,T,2.4,0.096,875.46 million,72.92 million,9.343,MBA
Tatry,C,2.351,0.077,>100 trillion,53.10 trillion,9.473,MBA
Rebekka,C,2.4,0.158,>100 trillion,>100 trillion,9.434,MBA
Drakonia,M,2.436,0.135,>100 trillion,42.78 trillion,9.365,MBA
Boury,C,2.324,0.046,>100 trillion,24.16 trillion,9.557,MBA
Bilkis,C,2.431,0.128,>100 trillion,>100 trillion,9.375,MBA
Zelinda,Ch,2.297,0.231,>100 trillion,>100 trillion,9.855,MBA
d'Alembert,C,2.711,0.292,>100 trillion,>100 trillion,9.162,MBA
Lindelof,X,2.763,0.283,>100 trillion,93.95 trillion,9.098,MBA
Lindbloom,Xc,2.399,0.08,73.10 trillion,6.00 trillion,9.469,MBA
Arpola,Xc,2.328,0.042,>100 trillion,8.53 trillion,9.654,MBA
Tercidina,Ch,2.326,0.061,>100 trillion,>100 trillion,9.679,MBA
Braille,Q,2.342,0.433,2.78 billion,197.73 million,10.931,MCA
Brangane,K,2.587,0.22,>100 trillion,>100 trillion,9.298,MBA
Sanguin,Ch,2.319,0.114,>100 trillion,>100 trillion,9.81,MBA
Opik,Ch,2.304,0.36,24.54 trillion,1.76 trillion,10.838,MCA
Iva,M,2.851,0.3,>100 trillion,>100 trillion,9.104,MBA
Idelsonia,Cgh,2.716,0.295,>100 trillion,>100 trillion,9.263,MBA
2001 UC5,X,2.743,0.627,879.67 million,62.42 million,10.955,AMO
Tsubetsu,X,2.401,0.067,63.39 trillion,5.12 trillion,9.613,MBA
Osiris,C,2.435,0.063,>100 trillion,>100 trillion,9.53,MBA
Gaoshiqi,Xk,2.41,0.05,>100 trillion,9.33 trillion,9.591,MBA
1996 TE11,Xc,2.57,0.473,1.68 trillion,128.40 billion,10.175,MCA
Lyyli,X,2.591,0.407,>100 trillion,>100 trillion,9.774,MCA
1988 AA5,Cb,2.796,0.283,>100 trillion,81.57 trillion,9.194,MBA
Lambrecht,Xc,2.473,0.072,>100 trillion,53.59 trillion,9.527,MBA
Spicer,Xc,2.697,0.234,>100 trillion,56.48 trillion,9.278,MBA
Titius,Xc,2.419,0.064,>100 trillion,33.48 trillion,9.671,MBA
Misa,Cg,2.657,0.181,>100 trillion,>100 trillion,9.292,MBA
Thia,Ch,2.585,0.243,>100 trillion,>100 trillion,9.493,MBA
Seifert,Xk,2.609,0.253,>100 trillion,44.24 trillion,9.468,MBA
Kridsadaporn,C,3.113,0.574,>100 trillion,26.80 trillion,9.548,MCA
Dolores,Cb,2.701,0.237,>100 trillion,>100 trillion,9.301,MBA
Barbarossa,X,2.568,0.201,>100 trillion,50.98 trillion,9.479,MBA
Daisetsuzan,Xc,2.436,0.07,77.84 trillion,6.25 trillion,9.672,MBA
Smiley,Cgh,2.734,0.262,>100 trillion,>100 trillion,9.297,MBA
Thernoe,K,2.769,0.238,>100 trillion,>100 trillion,9.234,MBA
Flagsymphony,Ch,2.778,0.288,>100 trillion,>100 trillion,9.299,MBA
Decaro,Cb,2.608,0.27,>100 trillion,73.51 trillion,9.553,MBA
Strattonia,C,2.683,0.214,>100 trillion,>100 trillion,9.351,MBA
Lilith,X,2.663,0.196,>100 trillion,93.59 trillion,9.366,MBA
Edburga,X,2.586,0.341,>100 trillion,>100 trillion,9.85,MBA
Durrell,C,2.728,0.252,>100 trillion,>100 trillion,9.358,MBA
Antwerpia,C,2.686,0.234,>100 trillion,>100 trillion,9.419,MBA
Brixia,Ch,2.741,0.282,>100 trillion,>100 trillion,9.418,MBA
Tokio,M,2.652,0.223,>100 trillion,>100 trillion,9.484,MBA
Ludibunda,K,2.746,0.238,>100 trillion,>100 trillion,9.36,MBA
Johnmills,C,2.737,0.272,>100 trillion,90.13 trillion,9.449,MBA
Bower,C,2.572,0.15,>100 trillion,>100 trillion,9.619,MBA
Afra,X,2.64,0.223,>100 trillion,>100 trillion,9.573,MBA
Zwetana,Cb,2.569,0.211,>100 trillion,>100 trillion,9.732,MBA
Endymion,Ch,2.568,0.129,>100 trillion,>100 trillion,9.635,MBA
Nicole,C,2.568,0.114,>100 trillion,>100 trillion,9.625,MBA
Vienna,K,2.635,0.247,>100 trillion,>100 trillion,9.662,MBA
Buda,L,2.472,0.148,>100 trillion,>100 trillion,9.968,MBA
Tamara,C,2.317,0.19,>100 trillion,>100 trillion,,MBA
Nasi,Cgh,2.729,0.252,>100 trillion,>100 trillion,9.488,MBA
Victoria,L,2.334,0.22,9.64 billion,623.30 million,,MBA
Amherstia,X,2.682,0.272,>100 trillion,>100 trillion,9.618,MBA
Tarkovskij,C,2.474,0.19,>100 trillion,>100 trillion,10.078,MBA
Desiderata,C,2.597,0.314,>100 trillion,>100 trillion,9.974,MBA
Westphalia,Ch,2.431,0.144,>100 trillion,>100 trillion,10.178,MBA
Austria,Xe,2.286,0.085,>100 trillion,>100 trillion,,MBA
Roxane,Xe,2.287,0.085,>100 trillion,55.01 trillion,,MBA
Hedda,Ch,2.284,0.029,>100 trillion,>100 trillion,,MBA
Milton,Xe,2.585,0.315,>100 trillion,15.52 trillion,10.077,MBA
Backlunda,C,2.436,0.119,>100 trillion,>100 trillion,10.174,MBA
Klio,Ch,2.362,0.236,>100 trillion,>100 trillion,,MBA
Beira,B,2.733,0.49,>100 trillion,57.73 trillion,10.689,MCA
Henrika,C,2.712,0.206,>100 trillion,>100 trillion,9.496,MBA
Liguria,C,2.756,0.24,>100 trillion,>100 trillion,9.47,MBA
Amalia,Ch,2.358,0.222,>100 trillion,>100 trillion,,MBA
Ruanda,X,2.751,0.188,>100 trillion,75.17 trillion,9.425,MBA
Giovannipratesi,Ch,2.792,0.237,>100 trillion,>100 trillion,9.427,MBA
Pamina,Ch,2.738,0.213,>100 trillion,>100 trillion,9.486,MBA
Alemannia,M,2.592,0.12,>100 trillion,>100 trillion,9.692,MBA
Brubeck,B,2.643,0.204,>100 trillion,>100 trillion,9.687,MBA
Caprera,C,2.72,0.219,>100 trillion,>100 trillion,9.558,MBA
Boliviana,X,2.574,0.187,>100 trillion,>100 trillion,9.87,MBA
Mathieu,X,2.766,0.305,>100 trillion,28.07 trillion,9.64,MBA
Erigone,Ch,2.367,0.191,17.33 billion,1.12 billion,,MBA
Prymno,X,2.332,0.089,>100 trillion,>100 trillion,,MBA
Lampetia,Xc,2.779,0.33,>100 trillion,>100 trillion,9.682,MBA
Dora,Ch,2.793,0.236,>100 trillion,>100 trillion,9.463,MBA
Fanny,Ch,2.771,0.213,>100 trillion,>100 trillion,9.468,MBA
Ostrovskij,Xk,2.75,0.19,>100 trillion,25.22 trillion,9.485,MBA
Sarita,X,2.634,0.32,>100 trillion,>100 trillion,10.11,MBA
Chaldaea,C,2.375,0.182,>100 trillion,>100 trillion,,MBA
Clorinde,B,2.34,0.08,>100 trillion,>100 trillion,,MBA
Celuta,K,2.361,0.15,>100 trillion,>100 trillion,,MBA
Artemis,Ch,2.374,0.177,18.15 billion,1.17 billion,,MBA
Chloris,Ch,2.724,0.242,>100 trillion,>100 trillion,9.642,MBA
Evelyn,Ch,2.723,0.176,>100 trillion,>100 trillion,9.55,MBA
Bezovec,C,2.422,0.211,>100 trillion,>100 trillion,11.551,MBA
Olga,Xc,2.404,0.222,1.27 billion,81.91 million,,MBA
Athor,Xc,2.379,0.138,>100 trillion,>100 trillion,,MBA
Svetlanov,Ch,2.788,0.233,>100 trillion,>100 trillion,9.541,MBA
Zhongolovich,Ch,2.777,0.231,>100 trillion,>100 trillion,9.566,MBA
Nemausa,Ch,2.366,0.068,>100 trillion,>100 trillion,,MBA
Estremadoyro,C,2.784,0.234,>100 trillion,>100 trillion,9.566,MBA
Baucis,L,2.38,0.114,>100 trillion,>100 trillion,,MBA
Arsinoe,Ch,2.594,0.199,>100 trillion,>100 trillion,10.01,MBA
Marghanna,Ch,2.729,0.322,>100 trillion,>100 trillion,9.925,MBA
Happelia,Xc,2.751,0.192,>100 trillion,>100 trillion,9.576,MBA
Semphyra,Xe,2.806,0.2,>100 trillion,57.34 trillion,9.484,MBA
Admete,C,2.743,0.223,>100 trillion,>100 trillion,9.65,MBA
Burnaby,C,2.701,0.173,>100 trillion,68.18 trillion,9.669,MBA
Libera,X,2.654,0.247,>100 trillion,>100 trillion,9.953,MBA
Metcalfia,X,2.622,0.131,>100 trillion,>100 trillion,9.826,MBA
Aeolia,Xe,2.741,0.16,>100 trillion,>100 trillion,9.574,MBA
Pariana,M,2.612,0.166,>100 trillion,>100 trillion,9.923,MBA
Milani,Xe,2.703,0.14,>100 trillion,31.91 trillion,9.638,MBA
Isis,L,2.442,0.223,8.07 billion,521.52 million,,MBA
Ellenbeth,Ch,2.789,0.23,>100 trillion,>100 trillion,9.586,MBA
Fujiwara,Ch,2.772,0.225,>100 trillion,>100 trillion,9.616,MBA
Aethra,Xe,2.608,0.39,>100 trillion,26.67 trillion,,MCA
Pien,B,2.728,0.188,>100 trillion,>100 trillion,9.659,MBA
Odessa,Xk,2.758,0.265,>100 trillion,42.07 trillion,9.734,MBA
Colchis,Xk,2.665,0.116,>100 trillion,>100 trillion,9.721,MBA
Ryabov,B,2.703,0.165,>100 trillion,79.02 trillion,9.689,MBA
Hertha,Xk,2.428,0.207,1.50 billion,96.79 million,,MBA
Merlin,Ch,2.781,0.218,>100 trillion,>100 trillion,9.601,MBA
Lubomir,Ch,2.768,0.206,>100 trillion,>100 trillion,9.616,MBA
Priska,Ch,2.669,0.183,>100 trillion,>100 trillion,9.819,MBA
Lotis,C,2.607,0.123,>100 trillion,>100 trillion,9.922,MBA
Latvia,L,2.645,0.171,>100 trillion,>100 trillion,9.875,MBA
Comas Sola,B,2.779,0.235,>100 trillion,>100 trillion,9.647,MBA
Clarissa,C,2.405,0.111,>100 trillion,>100 trillion,,MBA
van Altena,Cb,2.715,0.182,>100 trillion,>100 trillion,9.706,MBA
Lova,Ch,2.702,0.149,>100 trillion,>100 trillion,9.691,MBA
Nezarka,X,2.621,0.144,>100 trillion,>100 trillion,9.915,MBA
Lene,C,2.697,0.151,>100 trillion,>100 trillion,9.715,MBA
Nysa,Xc,2.423,0.148,>100 trillion,>100 trillion,,MBA
Polana,B,2.419,0.135,>100 trillion,>100 trillion,,MBA
Chloe,K,2.559,0.112,>100 trillion,>100 trillion,10.125,MBA
Hedera,X,2.716,0.158,>100 trillion,24.36 trillion,9.684,MBA
Recogne,C,2.713,0.174,>100 trillion,>100 trillion,9.714,MBA
Phillipadams,B,2.711,0.225,>100 trillion,>100 trillion,9.821,MBA
Chodas,Ch,2.735,0.209,>100 trillion,61.74 trillion,9.728,MBA
Tinette,X,2.721,0.273,>100 trillion,>100 trillion,9.918,MBA
Rufino,C,2.555,0.202,>100 trillion,>100 trillion,10.413,MBA
Siberia,Xk,2.545,0.133,>100 trillion,56.53 trillion,10.262,MBA
